id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes
A001,The Protocol School of Washington,United States,A,Private protocol training institution,A,Verification pending,https://www.psow.edu,official,1988,Leading private protocol training institution. Accredited by ACCET.
A002,International School of Protocol and Diplomacy (ISPD),Belgium,A,Private protocol and diplomacy school,A,Verification pending,https://ispdgroup.com,official,2008,Brussels-based. Part of ISPD Group. Executive Master Programme in Protocol & Soft Diplomacy Skills.
A003,Diplomatic School of Spain,Spain,A,Government diplomatic academy,A,Verification pending,https://www.exteriores.gob.es/Ministerio/Sedes/Paginas/EscuelaDiplomatica.aspx,official,1942,"Attached to Spanish Ministry of Foreign Affairs. Paseo Juan XXIII, 5, Madrid."
A004,Instituto del Servicio Exterior de la Nación (ISEN),Argentina,A,Government diplomatic academy,A,Verification pending,https://www.cancilleria.gob.ar,official_parent_institution,1963,Argentine diplomatic training institute.
A005,Protocol School of Washington / INAAR Saudi Arabia,Saudi Arabia,A,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model between PSOW and INAAR Saudi Arabia. Not verified institutional entity.
A006,National School of Government and International Relations (ENGRI),Mexico,A,Government diplomatic academy,A,Verification pending,https://www.sre.gob.mx,official_parent_institution,—,Mexican diplomatic and international relations training.
A007,Foreign Service Institute (FSI),United States,A,Government diplomatic training institute,A,Verification pending,https://www.state.gov/foreign-service-institute/,official,1947,"U.S. Department of State training arm. Arlington, Virginia."
A008,École Nationale d'Administration (ENA),France,A,Government administrative and diplomatic academy,A,Verification pending,https://www.insp.fr,official,1945,Now INSP (Institut national du service public). Strasbourg.
A009,Diplomatic Academy of Vienna,Austria,A,Government diplomatic academy,A,Verification pending,https://www.da-vienna.ac.at,official,1964,"Favoritenstraße 15a, 1040 Vienna."
A010,Protocol Academy of Kosovo — reported affiliated branch / historical branded training presence,Kosovo / North Macedonia,A,Reported affiliated branch / historical branded training presence,B,Verification pending,,left_blank_not_safely_resolved,—,Reported / archived / historical branded presence. Not verified independent current official protocol academy in Kosovo. Linked to Protocol Academy of Macedonia / Skopje context. Verification pending.
A011,Georgetown University — School of Foreign Service,United States,A,University school of foreign service,A,Verification pending,https://sfs.georgetown.edu,official,1919,"Washington, D.C."
A012,London School of Economics — Diplomacy and International Strategy,United Kingdom,A,University programme,A,Verification pending,https://www.lse.ac.uk/ideas,official_program_page,—,LSE IDEAS and related diplomacy programmes.
A013,China Foreign Affairs University,China,A,Government diplomatic university,A,Verification pending,https://www.cfau.edu.cn,official,1955,Beijing. Under Ministry of Foreign Affairs of China.
A014,Diplomatic Academy of the Ministry of Foreign Affairs of Russia,Russia,A,Government diplomatic academy,A,Verification pending,https://www.mid.ru,official_parent_institution,1934,Moscow.
A015,Indian Foreign Service Institute,India,A,Government diplomatic training institute,A,Verification pending,https://www.mea.gov.in,official_parent_institution,1986,New Delhi.
A016,Japan National Institute for Defense Studies,Japan,A,Government defense and strategic studies institute,A,Verification pending,https://www.nids.mod.go.jp,official,1952,Tokyo.
A017,Australian National University — Crawford School of Public Policy,Australia,A,University school,A,Verification pending,https://crawford.anu.edu.au,official,—,Canberra.
A018,German Federal Academy for Security Policy,Germany,A,Government security policy academy,A,Verification pending,https://www.baks.bund.de,official,—,Berlin.
A019,Italian National School of Government (SNA),Italy,A,Government administrative school,A,Verification pending,https://www.sna.gov.it,official,—,Rome.
A020,Turkish National Police Academy,Turkey,A,Government police academy,A,Verification pending,https://www.pa.edu.tr,official,—,Ankara.
A021,Royal College of Defence Studies,United Kingdom,A,Government defense college,A,Verification pending,https://www.rcds.co.uk,official,1927,London.
A022,Korea National Diplomatic Academy,South Korea,A,Government diplomatic academy,A,Verification pending,https://www.knda.go.kr,official,—,Seoul.
A023,Brazilian Rio Branco Institute,Brazil,A,Government diplomatic academy,A,Verification pending,https://www.institutoriobranco.itamaraty.gov.br,official,1945,Brasília.
A024,South African Foreign Service Institute,South Africa,A,Government diplomatic training institute,A,Verification pending,https://www.dirco.gov.za,official_parent_institution,—,Pretoria.
A025,Swiss Federal Institute of Technology — Center for Security Studies,Switzerland,A,University research center,A,Verification pending,https://css.ethz.ch,official_program_page,—,ETH Zürich.
B001,International Institute for Strategic Studies (IISS),United Kingdom,B,Independent think tank,B,Verification pending,https://www.iiss.org,official,1958,London. Publisher of The Military Balance and Strategic Survey.
B002,Chatham House (Royal Institute of International Affairs),United Kingdom,B,Independent think tank,B,Verification pending,https://www.chathamhouse.org,official,1920,London.
B003,Brookings Institution,United States,B,Independent think tank,B,Verification pending,https://www.brookings.edu,official,1916,"Washington, D.C."
B004,Carnegie Endowment for International Peace,United States,B,Independent think tank,B,Verification pending,https://carnegieendowment.org,official,1910,"Washington, D.C."
B005,Council on Foreign Relations,United States,B,Independent think tank,B,Verification pending,https://www.cfr.org,official,1921,New York.
B006,German Council on Foreign Relations (DGAP),Germany,B,Independent think tank,B,Verification pending,https://dgap.org,official,1952,Berlin.
B007,French Institute of International Relations (IFRI),France,B,Independent think tank,B,Verification pending,https://www.ifri.org,official,1979,Paris.
B008,Saudi Arabia MOFA / Protocol School of Washington,Saudi Arabia,B,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model. Not verified institutional entity.
B009,Clingendael Institute (Netherlands Institute of International Relations),Netherlands,B,Independent think tank,B,Verification pending,https://www.clingendael.org,official,1983,The Hague.
B010,Swedish Institute of International Affairs (UI),Sweden,B,Independent think tank,B,Verification pending,https://www.ui.se,official,1938,Stockholm.
B011,Norwegian Institute of International Affairs (NUPI),Norway,B,Independent think tank,B,Verification pending,https://www.nupi.no,official,1959,Oslo.
