id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes,entity_resolution_status,branch_or_alias_relationship,counted_as_distinct_external_institution
A001,The Protocol School of Washington,United States,A,Private protocol training institution,A,Verification pending,https://www.psow.edu,official,1988,Leading private protocol training institution. Accredited by ACCET.,,,subject_to_global_deduplication_rules
A002,International School of Protocol and Diplomacy (ISPD),Belgium,A,Private protocol and diplomacy school,A,Verification pending,https://ispdgroup.com,official,2008,Brussels-based. Part of ISPD Group. Executive Master Programme in Protocol & Soft Diplomacy Skills.,,,subject_to_global_deduplication_rules
A003,Diplomatic School of Spain,Spain,A,Government diplomatic academy,A,Verification pending,https://www.exteriores.gob.es/Ministerio/Sedes/Paginas/EscuelaDiplomatica.aspx,official,1942,"Attached to Spanish Ministry of Foreign Affairs. Paseo Juan XXIII, 5, Madrid.",,,subject_to_global_deduplication_rules
A004,Instituto del Servicio Exterior de la Nación (ISEN),Argentina,A,Government diplomatic academy,A,Verification pending,https://www.cancilleria.gob.ar,official_parent_institution,1963,Argentine diplomatic training institute.,,,subject_to_global_deduplication_rules
A005,Protocol School of Washington / INAAR Saudi Arabia,Saudi Arabia,A,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model between PSOW and INAAR Saudi Arabia. Not verified institutional entity.,,,subject_to_global_deduplication_rules
A006,National School of Government and International Relations (ENGRI),Mexico,A,Government diplomatic academy,A,Verification pending,https://www.sre.gob.mx,official_parent_institution,—,Mexican diplomatic and international relations training.,,,subject_to_global_deduplication_rules
A007,Foreign Service Institute (FSI),United States,A,Government diplomatic training institute,A,Verification pending,https://www.state.gov/foreign-service-institute/,official,1947,"U.S. Department of State training arm. Arlington, Virginia.",,,subject_to_global_deduplication_rules
A008,École Nationale d'Administration (ENA),France,A,Government administrative and diplomatic academy,A,Verification pending,https://www.insp.fr,official,1945,Now INSP (Institut national du service public). Strasbourg.,,,subject_to_global_deduplication_rules
A009,Diplomatic Academy of Vienna,Austria,A,Government diplomatic academy,A,Verification pending,https://www.da-vienna.ac.at,official,1964,"Favoritenstraße 15a, 1040 Vienna.",,,subject_to_global_deduplication_rules
A010,Protocol Academy of Kosovo — audit-visible branch / brand-presence record under D001,Kosovo / North Macedonia,A,Audit-visible child / branch / brand-presence record under D001,B,"VERIFIED — primary source, branch/de facto presence of D001",,no_url_audit_visible_branch_record,—,"Non-canonical child / branch / brand-presence record retained for audit visibility. REV3 formally resolves A010 under D001, so A010 remains an external dataset record but is not counted as a separate distinct external institution. D001 remains the canonical institutional entity.",AUDIT_VISIBLE_CHILD_BRANCH_BRAND_PRESENCE,D001,false
A011,Georgetown University — School of Foreign Service,United States,A,University school of foreign service,A,Verification pending,https://sfs.georgetown.edu,official,1919,"Washington, D.C.",,,subject_to_global_deduplication_rules
A012,London School of Economics — Diplomacy and International Strategy,United Kingdom,A,University programme,A,Verification pending,https://www.lse.ac.uk/ideas,official_program_page,—,LSE IDEAS and related diplomacy programmes.,,,subject_to_global_deduplication_rules
A013,China Foreign Affairs University,China,A,Government diplomatic university,A,Verification pending,https://www.cfau.edu.cn,official,1955,Beijing. Under Ministry of Foreign Affairs of China.,,,subject_to_global_deduplication_rules
A014,Diplomatic Academy of the Ministry of Foreign Affairs of Russia,Russia,A,Government diplomatic academy,A,Verification pending,https://www.mid.ru,official_parent_institution,1934,Moscow.,,,subject_to_global_deduplication_rules
A015,Indian Foreign Service Institute,India,A,Government diplomatic training institute,A,Verification pending,https://www.mea.gov.in,official_parent_institution,1986,New Delhi.,,,subject_to_global_deduplication_rules
A016,Japan National Institute for Defense Studies,Japan,A,Government defense and strategic studies institute,A,Verification pending,https://www.nids.mod.go.jp,official,1952,Tokyo.,,,subject_to_global_deduplication_rules
A017,Australian National University — Crawford School of Public Policy,Australia,A,University school,A,Verification pending,https://crawford.anu.edu.au,official,—,Canberra.,,,subject_to_global_deduplication_rules
A018,German Federal Academy for Security Policy,Germany,A,Government security policy academy,A,Verification pending,https://www.baks.bund.de,official,—,Berlin.,,,subject_to_global_deduplication_rules
A019,Italian National School of Government (SNA),Italy,A,Government administrative school,A,Verification pending,https://www.sna.gov.it,official,—,Rome.,,,subject_to_global_deduplication_rules
A020,Turkish National Police Academy,Turkey,A,Government police academy,A,Verification pending,https://www.pa.edu.tr,official,—,Ankara.,,,subject_to_global_deduplication_rules
A021,Royal College of Defence Studies,United Kingdom,A,Government defense college,A,Verification pending,https://www.rcds.co.uk,official,1927,London.,,,subject_to_global_deduplication_rules
A022,Korea National Diplomatic Academy,South Korea,A,Government diplomatic academy,A,Verification pending,https://www.knda.go.kr,official,—,Seoul.,,,subject_to_global_deduplication_rules
A023,Brazilian Rio Branco Institute,Brazil,A,Government diplomatic academy,A,Verification pending,https://www.institutoriobranco.itamaraty.gov.br,official,1945,Brasília.,,,subject_to_global_deduplication_rules
A024,South African Foreign Service Institute,South Africa,A,Government diplomatic training institute,A,Verification pending,https://www.dirco.gov.za,official_parent_institution,—,Pretoria.,,,subject_to_global_deduplication_rules
A025,Swiss Federal Institute of Technology — Center for Security Studies,Switzerland,A,University research center,A,Verification pending,https://css.ethz.ch,official_program_page,—,ETH Zürich.,,,subject_to_global_deduplication_rules
