id,name,country,group,institution_type,protocol_relevance_level,verification_status,website,website_status,established,notes,parent_id,counted_as_distinct_external_institution
A001,The Protocol School of Washington,United States,A,Private protocol training institution,A,Verification pending,https://www.psow.edu,official,1988,Leading private protocol training institution. Accredited by ACCET.,,true
A002,International School of Protocol and Diplomacy (ISPD),Belgium,A,Private protocol and diplomacy school,A,Verification pending,https://ispdgroup.com,official,2008,Brussels-based. Part of ISPD Group. Executive Master Programme in Protocol & Soft Diplomacy Skills.,,true
A003,Diplomatic School of Spain,Spain,A,Government diplomatic academy,A,Verification pending,https://www.exteriores.gob.es/Ministerio/Sedes/Paginas/EscuelaDiplomatica.aspx,official,1942,"Attached to Spanish Ministry of Foreign Affairs. Paseo Juan XXIII, 5, Madrid.",,true
A004,Instituto del Servicio Exterior de la Nación (ISEN),Argentina,A,Government diplomatic academy,A,Verification pending,https://www.cancilleria.gob.ar,official_parent_institution,1963,Argentine diplomatic training institute.,,true
A005,Protocol School of Washington / INAAR Saudi Arabia,Saudi Arabia,A,Reported cooperation model,A,Verification pending,,left_blank_not_safely_resolved,—,Methodological observation only. Reported cooperation model between PSOW and INAAR Saudi Arabia. Not verified institutional entity.,,true
A006,National School of Government and International Relations (ENGRI),Mexico,A,Government diplomatic academy,A,Verification pending,https://www.sre.gob.mx,official_parent_institution,—,Mexican diplomatic and international relations training.,,true
A007,Foreign Service Institute (FSI),United States,A,Government diplomatic training institute,A,Verification pending,https://www.state.gov/foreign-service-institute/,official,1947,"U.S. Department of State training arm. Arlington, Virginia.",,true
A008,École Nationale d'Administration (ENA),France,A,Government administrative and diplomatic academy,A,Verification pending,https://www.insp.fr,official,1945,Now INSP (Institut national du service public). Strasbourg.,,true
A009,Diplomatic Academy of Vienna,Austria,A,Government diplomatic academy,A,Verification pending,https://www.da-vienna.ac.at,official,1964,"Favoritenstraße 15a, 1040 Vienna.",,true
A010,Protocol Academy of Kosovo — audit-visible branch / brand-presence record under D001,Kosovo / North Macedonia,A,Audit-visible child / branch / brand-presence record under D001,B,"VERIFIED — primary source, branch/de facto presence of D001",,no_url_audit_visible_branch_record,—,"Non-canonical child / branch / brand-presence record retained for audit visibility. REV3 formally resolves A010 under D001, so A010 remains an external dataset record but is not counted as a separate distinct external institution. D001 remains the canonical institutional entity.",,false
A011,Georgetown University — School of Foreign Service,United States,A,University school of foreign service,A,Verification pending,https://sfs.georgetown.edu,official,1919,"Washington, D.C.",,true
A012,London School of Economics — Diplomacy and International Strategy,United Kingdom,A,University programme,A,Verification pending,https://www.lse.ac.uk/ideas,official_program_page,—,LSE IDEAS and related diplomacy programmes.,,true
A013,China Foreign Affairs University,China,A,Government diplomatic university,A,Verification pending,https://www.cfau.edu.cn,official,1955,Beijing. Under Ministry of Foreign Affairs of China.,,true
A014,Diplomatic Academy of the Ministry of Foreign Affairs of Russia,Russia,A,Government diplomatic academy,A,Verification pending,https://www.mid.ru,official_parent_institution,1934,Moscow.,,true
A015,Indian Foreign Service Institute,India,A,Government diplomatic training institute,A,Verification pending,https://www.mea.gov.in,official_parent_institution,1986,New Delhi.,,true
